true_lang	pred_lang	count
uzb	uzn	40891
msa	ind	6782
mlg	plt	1846
swh	swc	984
est	ekk	605
uzb	rus	330
ind	msa	235
eng	ita	224
eng	nld	218
ara	fas	208
arg	spa	205
ind	eng	201
eng	kin	200
ara	zxx	195
msa	eng	189
eng	dan	182
acf	gcf	179
eng	dag	172
eng	zxx	157
zho	eng	157
ara	apc	155
zho	und	148
zho	zxx	147
uzb	mlt	146
eng	swe	139
fas	urd	136
uzb	uig	136
deu	nld	136
uzb	eng	131
yor	gkn	130
zho	lzh	126
ind	bew	116
zho	jpn	115
eng	fin	115
swh	kin	114
ara	eng	113
eng	srd	112
eng	pol	100
eng	slk	96
eng	por	95
swh	lin	95
ind	ace	94
uzb	aze	93
hau	kin	93
spa	por	92
ita	vec	92
uzb	slv	91
eng	lav	90
eng	ekk	89
uzb	nld	89
vie	eng	88
hau	eng	87
msa	bew	80
eng	ind	79
deu	dan	79
deu	swe	78
ita	srd	76
mar	hin	76
swh	eng	76
deu	eng	76
vec	ita	73
ind	jav	73
ara	ajp	71
crh	tat	71
crh	kaa	70
eng	mlt	69
uzb	lav	66
jav	ind	64
eng	deu	64
msa	bjn	62
ara	acm	62
jpn	zho	61
eng	uzn	58
msa	jav	57
eng	xho	56
eng	sco	55
lin	gkn	55
amh	dag	54
uzb	ekk	53
ind	bjn	52
ind	dan	50
deu	ekk	50
ara	und	49
uzb	pol	49
eng	slv	47
spa	grn	47
eng	spa	47
ita	eng	47
msa	sun	46
uzb	ind	46
uzb	tur	46
swh	nya	45
deu	gsw	45
eng	fur	44
msa	min	44
arg	por	44
jpn	eng	43
vec	lij	43
sot	nso	42
uzb	dan	42
tgl	bik	42
hau	fuv	41
jpn	und	40
vie	zxx	40
ind	uzn	40
msa	uzn	40
hin	anp	40
uzb	swe	40
ind	min	40
ind	sun	39
ind	nld	39
msa	ace	39
fas	glk	38
vie	zho	38
eng	fra	38
tgl	ceb	38
ory	zxx	38
uzb	tgk	37
eng	lit	37
eng	kiu	37
eng	swh	37
hau	uzn	37
uzb	zxx	37
uzb	pap	37
spa	quy	37
ind	swe	36
swh	sna	36
uzb	fin	35
fra	eng	35
deu	slv	35
msa	ekk	34
deu	ltz	34
mlg	xmv	34
deu	pol	33
gom	mar	33
uzb	slk	33
urd	pnb	33
eng	msa	33
eng	und	33
zho	nld	33
ara	spa	32
bre	fra	32
tha	eng	32
swh	fin	32
msa	swe	32
eng	tur	32
kan	und	31
vec	srd	31
tel	zxx	31
mar	gom	31
eng	nob	31
heb	zxx	30
ben	asm	30
msa	fin	30
fra	nld	30
ind	fin	30
msa	nld	30
ind	ekk	30
jav	jvn	30
ind	slv	30
oci	cat	29
tgl	eng	29
msa	pol	29
por	slv	29
kan	zxx	29
hau	ind	29
tur	kiu	29
gla	gle	29
pan	zxx	28
eng	ces	28
msa	dan	28
sna	kin	28
ces	slk	27
hau	mlt	27
ara	urd	27
jpn	zxx	27
ara	dag	27
deu	por	27
gom	hin	27
ind	deu	27
hau	swe	26
spa	eng	26
bik	tgl	26
ind	srd	25
gla	eng	25
uzb	fur	25
uzb	hin	25
ind	por	25
mlg	skg	25
ita	pol	25
uzb	run	25
ita	mlt	25
hau	fin	25
yor	zxx	25
tur	aze	24
msa	mlt	24
uzb	yor	24
amh	und	24
msa	mui	24
eng	lus	24
