true_lang	pred_lang	count
uzb	uzn	40274
msa	ind	3349
mlg	plt	1895
ind	msa	1674
uzb	zxx	1631
eng	zxx	1362
arg	ast	1296
msa	zxx	878
vie	zxx	869
bik	tgl	815
eng	zho	748
swh	zxx	699
ind	zxx	649
est	ekk	582
eng	hne	577
fry	lim	549
acf	hat	511
zho	zxx	481
arg	spa	435
eng	dan	428
deu	zxx	405
bik	ceb	379
bre	zxx	358
bik	war	340
eng	nld	309
gom	mar	279
hau	zxx	279
eng	swe	268
rcf	hat	266
bre	cym	263
eng	hin	246
bre	kab	236
ind	hne	229
eng	xho	208
ara	fas	200
uzb	rus	198
ita	zxx	183
fry	nld	183
ind	bjn	181
ita	srd	176
ind	sun	173
tur	zxx	164
jpn	zxx	161
eng	nno	160
msa	zho	159
uzb	zho	157
fra	zxx	155
ita	vec	153
arg	glg	151
spa	ast	147
bre	lav	142
spa	grn	142
eng	ekk	138
bre	hun	136
eng	hun	130
deu	nld	129
spa	zxx	128
ind	jav	125
zho	jpn	123
eng	mlt	122
ind	ekk	121
eng	srd	121
vec	zxx	120
ara	zxx	120
spa	glg	118
eng	lav	118
ind	zho	117
ind	dan	117
bre	mlt	117
deu	swe	115
deu	dan	113
mar	hin	104
rus	zxx	102
tha	zxx	102
swh	kin	100
ind	ace	99
ind	mlt	99
uzb	tgk	98
eng	slv	96
swh	zho	94
jav	zxx	93
vie	zho	89
por	zxx	89
gcr	hat	87
spa	por	86
bik	zxx	85
eng	fin	85
ind	swe	84
heb	zxx	84
msa	hne	84
msa	sun	82
eng	pol	81
ind	min	81
bre	swe	78
kan	zxx	77
fas	azb	77
spa	ayr	77
jpn	zho	74
amh	zxx	70
spa	quy	70
ind	uzn	69
fry	nno	67
msa	bjn	67
bre	dan	66
eng	uzn	65
tel	zxx	65
msa	dan	65
bre	slv	63
pan	zxx	62
arg	cat	61
ind	eng	61
eng	slk	61
eng	nob	61
msa	mlt	61
fin	zxx	60
eng	hrv	59
mlg	zxx	59
msa	min	59
ind	nld	58
bre	lim	58
ind	slv	58
eng	msa	57
msa	swe	57
hau	zho	56
ita	mlt	56
bik	pag	55
eng	kin	55
deu	zho	55
bre	lmo	55
ces	slk	54
ind	fin	54
eng	fra	53
ind	hun	51
vec	ita	51
eng	afr	51
hau	mlt	51
deu	mlt	51
bre	als	50
lin	yor	50
bre	hat	50
arg	grn	50
por	glg	49
eng	ita	49
uzb	mlt	49
fra	hat	49
msa	slv	48
gom	hin	48
vec	lij	48
lug	zxx	47
hau	hrv	46
swh	sna	46
eng	lit	46
bre	eus	45
ind	nno	45
eng	por	45
msa	ekk	45
deu	ekk	45
hin	bho	44
arg	ayr	44
swh	ssw	44
uzb	swe	43
nld	lim	43
hau	hne	42
fry	afr	42
msa	hun	42
eng	ind	42
eng	zul	41
hau	slv	41
msa	eng	41
san	hin	41
hau	swe	41
yor	zxx	41
sot	nso	40
bre	ilo	40
uzb	slv	40
ory	zxx	40
tgl	ceb	39
hau	uzn	39
bre	nld	39
eng	fur	39
acf	zxx	38
jav	ind	38
tgl	zxx	38
ita	zho	38
hau	kin	38
eng	tgl	38
rus	bul	38
uzb	aze	37
tur	crh	37
rus	ukr	36
arg	srd	36
est	zxx	36
swh	nya	36
oci	cat	35
msa	jav	35
ben	asm	35
deu	fin	35
eng	ilo	35
ind	hrv	35
arg	por	34
